start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 17:23:36.766597,2021-10-10 17:23:47.672821,30m,"com_ave, tweet_count + end_price, trend",5,20,10137,8688,1449,0.4582470669427191,"[[260  19  64]
 [308  89 338]
 [ 41  15 315]]","{'neg': {'precision': 0.4269293924466338, 'recall': 0.7580174927113703, 'f1-score': 0.546218487394958, 'support': 343}, 'neu': {'precision': 0.7235772357723578, 'recall': 0.12108843537414966, 'f1-score': 0.20745920745920746, 'support': 735}, 'pos': {'precision': 0.4393305439330544, 'recall': 0.8490566037735849, 'f1-score': 0.5790441176470589, 'support': 371}, 'accuracy': 0.4582470669427191, 'macro avg': {'precision': 0.529945724050682, 'recall': 0.5760541772863683, 'f1-score': 0.4442406041670748, 'support': 1449}, 'weighted avg': {'precision': 0.5805781102146595, 'recall': 0.4582470669427191, 'f1-score': 0.3827887000041732, 'support': 1449}}"
2021-10-10 17:23:47.735323,2021-10-10 17:24:28.985344,15m,"com_ave, tweet_count + end_price, trend",5,20,20292,17393,2899,0.4749913763366678,"[[586  18 106]
 [506 110 820]
 [ 46  26 681]]","{'neg': {'precision': 0.5149384885764499, 'recall': 0.8253521126760563, 'f1-score': 0.6341991341991341, 'support': 710}, 'neu': {'precision': 0.7142857142857143, 'recall': 0.0766016713091922, 'f1-score': 0.13836477987421383, 'support': 1436}, 'pos': {'precision': 0.4237710018668326, 'recall': 0.9043824701195219, 'f1-score': 0.5771186440677967, 'support': 753}, 'accuracy': 0.4749913763366678, 'macro avg': {'precision': 0.5509984015763323, 'recall': 0.6021120847015902, 'f1-score': 0.4498941860470482, 'support': 2899}, 'weighted avg': {'precision': 0.5900035105240738, 'recall': 0.4749913763366678, 'f1-score': 0.3737645906049697, 'support': 2899}}"
2021-10-10 17:24:29.032224,2021-10-10 17:32:46.960288,5m,"com_ave, tweet_count + end_price, trend",5,20,60916,52213,8703,0.4905205101689073,"[[2068   16  139]
 [2014   86 2118]
 [ 141    6 2115]]","{'neg': {'precision': 0.4896992659246981, 'recall': 0.9302744039586145, 'f1-score': 0.6416382252559727, 'support': 2223}, 'neu': {'precision': 0.7962962962962963, 'recall': 0.020388809862494073, 'f1-score': 0.039759593157651416, 'support': 4218}, 'pos': {'precision': 0.48376029277218663, 'recall': 0.9350132625994695, 'f1-score': 0.6376243593608683, 'support': 2262}, 'accuracy': 0.4905205101689073, 'macro avg': {'precision': 0.5899186183310604, 'recall': 0.628558825473526, 'f1-score': 0.4396740592581641, 'support': 8703}, 'weighted avg': {'precision': 0.6367511235412004, 'recall': 0.4905205101689073, 'f1-score': 0.3488882040166937, 'support': 8703}}"
2021-10-10 17:32:47.022796,2021-10-10 17:32:47.069681,1d,"com_ave, tweet_count + end_price, trend",6,24,206,176,30,0.2666666666666666,"[[1 3 3]
 [2 4 6]
 [2 6 3]]","{'neg': {'precision': 0.2, 'recall': 0.14285714285714285, 'f1-score': 0.16666666666666666, 'support': 7}, 'neu': {'precision': 0.3076923076923077, 'recall': 0.3333333333333333, 'f1-score': 0.32, 'support': 12}, 'pos': {'precision': 0.25, 'recall': 0.2727272727272727, 'f1-score': 0.2608695652173913, 'support': 11}, 'accuracy': 0.26666666666666666, 'macro avg': {'precision': 0.25256410256410255, 'recall': 0.24963924963924963, 'f1-score': 0.24917874396135264, 'support': 30}, 'weighted avg': {'precision': 0.26141025641025645, 'recall': 0.26666666666666666, 'f1-score': 0.26254106280193235, 'support': 30}}"
2021-10-10 17:32:47.116544,2021-10-10 17:32:47.163444,12h,"com_ave, tweet_count + end_price, trend",6,24,418,358,60,0.4,"[[ 5  4  6]
 [ 5  7 18]
 [ 2  1 12]]","{'neg': {'precision': 0.4166666666666667, 'recall': 0.3333333333333333, 'f1-score': 0.3703703703703704, 'support': 15}, 'neu': {'precision': 0.5833333333333334, 'recall': 0.23333333333333334, 'f1-score': 0.33333333333333337, 'support': 30}, 'pos': {'precision': 0.3333333333333333, 'recall': 0.8, 'f1-score': 0.47058823529411764, 'support': 15}, 'accuracy': 0.4, 'macro avg': {'precision': 0.4444444444444444, 'recall': 0.45555555555555555, 'f1-score': 0.39143064633260716, 'support': 60}, 'weighted avg': {'precision': 0.4791666666666667, 'recall': 0.4, 'f1-score': 0.3769063180827887, 'support': 60}}"
2021-10-10 17:32:47.210304,2021-10-10 17:32:47.382172,4h,"com_ave, tweet_count + end_price, trend",6,24,1266,1085,181,0.3591160220994475,"[[18  8 13]
 [35 25 36]
 [13 11 22]]","{'neg': {'precision': 0.2727272727272727, 'recall': 0.46153846153846156, 'f1-score': 0.3428571428571428, 'support': 39}, 'neu': {'precision': 0.5681818181818182, 'recall': 0.2604166666666667, 'f1-score': 0.35714285714285715, 'support': 96}, 'pos': {'precision': 0.30985915492957744, 'recall': 0.4782608695652174, 'f1-score': 0.3760683760683761, 'support': 46}, 'accuracy': 0.35911602209944754, 'macro avg': {'precision': 0.3835894152795561, 'recall': 0.40007199925678183, 'f1-score': 0.3586894586894587, 'support': 181}, 'weighted avg': {'precision': 0.4388692779479489, 'recall': 0.35911602209944754, 'f1-score': 0.3588745202004871, 'support': 181}}"
2021-10-10 17:32:47.429045,2021-10-10 17:32:50.147791,1h,"com_ave, tweet_count + end_price, trend",6,24,5055,4332,723,0.4356846473029045,"[[101  19  41]
 [131  74 161]
 [ 33  23 140]]","{'neg': {'precision': 0.38113207547169814, 'recall': 0.6273291925465838, 'f1-score': 0.4741784037558686, 'support': 161}, 'neu': {'precision': 0.6379310344827587, 'recall': 0.20218579234972678, 'f1-score': 0.3070539419087137, 'support': 366}, 'pos': {'precision': 0.4093567251461988, 'recall': 0.7142857142857143, 'f1-score': 0.5204460966542751, 'support': 196}, 'accuracy': 0.43568464730290457, 'macro avg': {'precision': 0.4761399450335519, 'recall': 0.5146002330606749, 'f1-score': 0.43389281410628583, 'support': 723}, 'weighted avg': {'precision': 0.5187813843710761, 'recall': 0.43568464730290457, 'f1-score': 0.402118811462686, 'support': 723}}"
2021-10-10 17:32:50.194670,2021-10-10 17:33:01.460262,30m,"com_ave, tweet_count + end_price, trend",6,24,10132,8684,1448,0.457182320441989,"[[235  33  74]
 [246 137 352]
 [ 56  25 290]]","{'neg': {'precision': 0.4376163873370577, 'recall': 0.6871345029239766, 'f1-score': 0.5346985210466438, 'support': 342}, 'neu': {'precision': 0.7025641025641025, 'recall': 0.18639455782312925, 'f1-score': 0.2946236559139785, 'support': 735}, 'pos': {'precision': 0.40502793296089384, 'recall': 0.7816711590296496, 'f1-score': 0.5335786568537259, 'support': 371}, 'accuracy': 0.457182320441989, 'macro avg': {'precision': 0.5150694742873514, 'recall': 0.5517334065922518, 'f1-score': 0.454300277938116, 'support': 1448}, 'weighted avg': {'precision': 0.5637533031646275, 'recall': 0.457182320441989, 'f1-score': 0.41255038880349354, 'support': 1448}}"
2021-10-10 17:33:01.507143,2021-10-10 17:33:44.679038,15m,"com_ave, tweet_count + end_price, trend",6,24,20287,17388,2899,0.4749913763366678,"[[542  45 123]
 [488 190 758]
 [ 62  46 645]]","{'neg': {'precision': 0.49633699633699635, 'recall': 0.7633802816901408, 'f1-score': 0.6015538290788014, 'support': 710}, 'neu': {'precision': 0.6761565836298933, 'recall': 0.13231197771587744, 'f1-score': 0.221316249271986, 'support': 1436}, 'pos': {'precision': 0.4226736566186107, 'recall': 0.8565737051792829, 'f1-score': 0.5660377358490566, 'support': 753}, 'accuracy': 0.4749913763366678, 'macro avg': {'precision': 0.5317224121951668, 'recall': 0.5840886548617671, 'f1-score': 0.46296927139994803, 'support': 2899}, 'weighted avg': {'precision': 0.5662757450588506, 'recall': 0.4749913763366678, 'f1-score': 0.40398060286128334, 'support': 2899}}"
2021-10-10 17:33:44.725920,2021-10-10 17:43:28.490967,5m,"com_ave, tweet_count + end_price, trend",6,24,60911,52209,8702,0.483681912204091,"[[1997   20  206]
 [1871  162 2184]
 [ 191   21 2050]]","{'neg': {'precision': 0.4919931017491993, 'recall': 0.8983355825461089, 'f1-score': 0.635784781916587, 'support': 2223}, 'neu': {'precision': 0.7980295566502463, 'recall': 0.03841593549917002, 'f1-score': 0.07330316742081447, 'support': 4217}, 'pos': {'precision': 0.4617117117117117, 'recall': 0.9062776304155614, 'f1-score': 0.6117576842733512, 'support': 2262}, 'accuracy': 0.483681912204091, 'macro avg': {'precision': 0.5839114567037191, 'recall': 0.6143430494869467, 'f1-score': 0.44028187787025086, 'support': 8702}, 'weighted avg': {'precision': 0.6324273957106931, 'recall': 0.483681912204091, 'f1-score': 0.35695988382446203, 'support': 8702}}"
